subject,trial,code,speaker,targetphrase,counterbalance,effort_rating
LE01,6,EXP_23,ALS,connect the beer device,2,3
LE01,7,EXP_13,Control,award his drain away,2,1
LE01,8,EXP_48,ALS,mistake delight for heat,2,3
LE01,9,EXP_64,Control,rowing farther matters,2,2
LE01,10,EXP_40,Control,indeed a tax ascent,2,2
LE01,11,EXP_52,Control,or spent sincere aside,2,2
LE01,12,EXP_71,Control,submit his cash report,2,3
LE01,13,EXP_09,ALS,assume to catch control,2,4
LE01,14,EXP_18,Control,butcher in the middle,2,1
LE01,15,EXP_12,Control,avoid or beat command,2,1
LE01,16,EXP_03,ALS,admit the gear beyond,2,2
LE01,17,EXP_46,ALS,may the same pursued it,2,4
LE01,18,EXP_58,Control,rampant boasting captain,2,1
LE01,19,EXP_32,Control,for coke a great defeat,2,1
LE01,20,EXP_74,ALS,technique but sent result,2,4
LE01,21,EXP_79,ALS,unseen machines agree,2,3
LE01,22,EXP_19,ALS,career despite research,2,3
LE01,23,EXP_24,ALS,constant willing walker,2,3
LE01,24,EXP_57,Control,push her equal culture,2,1
LE01,25,EXP_67,Control,signal breakfast pilot,2,1
LE01,26,EXP_22,Control,confused but roared again,2,1
LE01,27,EXP_41,ALS,its harmful note abounds,2,4
LE01,28,EXP_59,Control,remove and name for stake,2,2
LE01,29,EXP_51,Control,narrow seated member,2,1
LE01,30,EXP_08,Control,appear to wait then turn,2,1
LE01,31,EXP_16,ALS,bolder ground from justice,2,4
LE01,32,EXP_73,ALS,target keeping season,2,5
LE01,33,EXP_65,Control,seat for locking runners,2,1
LE01,34,EXP_35,ALS,functions aim his acid,2,5
LE01,35,EXP_76,ALS,to sort but fear inside,2,4
LE01,36,EXP_61,ALS,rocking modern poster,2,3
LE01,37,EXP_28,Control,distant leaking basement,2,1
LE01,38,EXP_42,Control,kick a tad above them,2,1
LE01,39,EXP_31,Control,embark or take her sheet,2,1
LE01,40,EXP_02,Control,address her meeting time,2,1
LE01,41,EXP_72,ALS,support with dock and cheer,2,5
LE01,42,EXP_06,Control,amend estate approach,2,2
LE01,43,EXP_01,ALS,account for who could knock,2,4
LE01,44,EXP_53,Control,pain can follow agents,2,2
LE01,45,EXP_34,ALS,frame her seed to answer,2,5
