item,label,class,summary,value
"","","",Rows in dataset,2720
"","","",Columns in dataset,10
subject,Pariticipant ID,character,unique responses,34
"","","",missing,0
targetphrase,Target Phrase,character,unique responses,81
"","","",missing,0
initial_response,First Transcription of Listener Response,character,unique responses,675
"","","",missing,0
correct_words_initial,Number of Correct Words Transcribed (Initial),numeric,mean,3
"","","",median,4
"","","",min,0
"","","",max,5
"","","",missing,0
trial,Trial Number,numeric,mean,46
"","","",median,46
"","","",min,6
"","","",max,85
"","","",missing,0
target_number,Target Number of Words in Phrase,integer,mean,4
"","","",median,4
"","","",min,3
"","","",max,5
"","","",missing,0
rel_response,Reliability Transcription of Listener Response,character,unique responses,291
"","","",missing,2080
correct_words_rel,Number of Correct Words Transcribed (Reliability),numeric,mean,3
"","","",median,4
"","","",min,0
"","","",max,5
"","","",missing,2080
rep_acc,Repetition Accuracy,factor,accurate (1),1748
"","","",inaccurate (2),931
"","","",missing,41
rep_acc_rel,Repetition Accuracy (Reliability),factor,accurate (1),408
"","","",inaccurate (2),231
"","","",missing,2081
