trial,code,speaker,soundFile,targetPhrase,num_targetWords,block,counterBalance
1,PM_1,Practice,PM_1.wav,sticks are best for pencils,3,1,1
2,PM_2,Practice,PM_2.wav,ballot formal circles,3,1,1
3,PM_3,Practice,PM_3.wav,friendly slogan catch it,3,1,1
4,PM_4,Practice,PM_4.wav,she describes a nuisance,3,1,1
5,PM_5,Practice,PM_5.wav,younger rusty viewers,3,1,1
6,EXP_10,PD,PDM10_EXP_10.wav,attack became concerned,3,2,1
7,EXP_12,PD,PDM10_EXP_12.wav,avoid or beat command,3,2,1
8,EXP_53,PD,PDM10_EXP_53.wav,pain can follow agents,3,2,1
9,EXP_27,Control,CM1_EXP_27.wav,define respect instead,3,2,1
10,EXP_32,PD,PDM10_EXP_32.wav,for coke a great defeat,3,2,1
11,EXP_36,Control,CM1_EXP_36.wav,had eaten junk and train,3,2,1
12,EXP_72,Control,CM1_EXP_72.wav,support with dock and cheer,3,2,1
13,EXP_52,PD,PDM10_EXP_52.wav,or spent sincere aside,3,2,1
14,EXP_80,Control,CM1_EXP_80.wav,vital seats with wonder,3,2,1
15,EXP_26,Control,CM1_EXP_26.wav,darker painted baskets,3,2,1
16,EXP_08,PD,PDM10_EXP_08.wav,appear to wait then turn,3,3,1
17,EXP_15,PD,PDM10_EXP_15.wav,beside a sunken bat,3,3,1
18,EXP_33,Control,CM1_EXP_33.wav,forget the joke below,3,3,1
19,EXP_75,PD,PDM10_EXP_75.wav,thinking for the hearing,2,3,1
20,EXP_58,PD,PDM10_EXP_58.wav,rampant boasting captain,3,3,1
21,EXP_55,PD,PDM10_EXP_55.wav,pick a chain for action,3,3,1
22,EXP_41,Control,CM1_EXP_41.wav,its harmful note abounds,3,3,1
23,EXP_50,Control,CM1_EXP_50.wav,model sad and local,3,3,1
24,EXP_16,Control,CM1_EXP_16.wav,bolder ground from justice,3,3,1
25,EXP_65,PD,PDM10_EXP_65.wav,seat for locking runners,3,3,1
26,EXP_06,PD,PDM10_EXP_06.wav,amend estate approach,3,4,1
27,EXP_05,PD,PDM10_EXP_05.wav,afraid beneath demand,3,4,1
28,EXP_14,Control,CM1_EXP_14.wav,balance clamp and bottle,3,4,1
29,EXP_54,Control,CM1_EXP_54.wav,perceive sustained supplies,3,4,1
30,EXP_79,Control,CM1_EXP_79.wav,unseen machines agree,3,4,1
31,EXP_11,Control,CM1_EXP_11.wav,attend the trend success,3,4,1
32,EXP_44,Control,CM1_EXP_44.wav,mark a single ladder,3,4,1
33,EXP_77,PD,PDM10_EXP_77.wav,transcend almost betrayed,3,4,1
34,EXP_40,PD,PDM10_EXP_40.wav,indeed a tax ascent,3,4,1
35,EXP_19,Control,CM1_EXP_19.wav,career despite research,3,4,1
36,EXP_29,Control,CM1_EXP_29.wav,divide across retreat,3,5,1
37,EXP_60,Control,CM1_EXP_60.wav,resting older earring,3,5,1
38,EXP_74,Control,CM1_EXP_74.wav,technique but sent result,3,5,1
39,EXP_23,Control,CM1_EXP_23.wav,connect the beer device,3,5,1
40,EXP_38,PD,PDM10_EXP_38.wav,hold a page of fortune,3,5,1
41,EXP_64,PD,PDM10_EXP_64.wav,rowing farther matters,3,5,1
42,EXP_51,PD,PDM10_EXP_51.wav,narrow seated member,3,5,1
43,EXP_78,PD,PDM10_EXP_78.wav,unless escape can learn,3,5,1
44,EXP_39,PD,PDM10_EXP_39.wav,increase a grade sedate,3,5,1
45,EXP_73,Control,CM1_EXP_73.wav,target keeping season,3,5,1
46,EXP_02,PD,PDM10_EXP_02.wav,address her meeting time,3,6,1
47,EXP_17,PD,PDM10_EXP_17.wav,bush is chosen after,3,6,1
48,EXP_28,PD,PDM10_EXP_28.wav,distant leaking basement,3,6,1
49,EXP_07,Control,CM1_EXP_07.wav,and spoke behind her sin,3,6,1
50,EXP_71,PD,PDM10_EXP_71.wav,submit his cash report,3,6,1
51,EXP_30,PD,PDM10_EXP_30.wav,done with finest handle,3,6,1
52,EXP_34,Control,CM1_EXP_34.wav,frame her seed to answer,3,6,1
53,EXP_03,Control,CM1_EXP_03.wav,admit the gear beyond,3,6,1
54,EXP_24,Control,CM1_EXP_24.wav,constant willing walker,3,6,1
55,EXP_69,Control,CM1_EXP_69.wav,sparkle enter broken,3,6,1
56,EXP_20,Control,CM1_EXP_20.wav,cheap control in paper,3,7,1
57,EXP_59,PD,PDM10_EXP_59.wav,remove and name for stake,3,7,1
58,EXP_35,Control,CM1_EXP_35.wav,functions aim his acid,3,7,1
59,EXP_56,PD,PDM10_EXP_56.wav,pooling pill or cattle,3,7,1
60,EXP_67,PD,PDM10_EXP_67.wav,signal breakfast pilot,3,7,1
61,EXP_42,PD,PDM10_EXP_42.wav,kick a tad above them,3,7,1
62,EXP_62,PD,PDM10_EXP_62.wav,rode the lamp for teasing,3,7,1
63,EXP_49,Control,CM1_EXP_49.wav,mode campaign for budget,3,7,1
64,EXP_43,PD,PDM10_EXP_43.wav,listen final station,3,7,1
65,EXP_61,Control,CM1_EXP_61.wav,rocking modern poster,3,7,1
66,EXP_66,Control,CM1_EXP_66.wav,secure but lease apart,3,8,1
67,EXP_63,PD,PDM10_EXP_63.wav,round and bad for carpet,3,8,1
68,EXP_37,PD,PDM10_EXP_37.wav,her owners arm the phone,3,8,1
69,EXP_09,Control,CM1_EXP_09.wav,assume to catch control,3,8,1
70,EXP_48,Control,CM1_EXP_48.wav,mistake delight for heat,3,8,1
