trial,code,speaker,targetPhrase,practiceTrial,block,counterBalance
1,PM_1,Practice,sticks are best for pencils,Practice,1,2
2,PM_2,Practice,ballot formal circles,Practice,1,2
3,PM_3,Practice,friendly slogan catch it,Practice,1,2
4,PM_4,Practice,she describes a nuisance,Practice,1,2
5,PM_5,Practice,younger rusty viewers,Practice,1,2
6,EXP_23,PD,connect the beer device,Experimental,2,2
7,EXP_13,Control,award his drain away,Experimental,2,2
8,EXP_48,PD,mistake delight for heat,Experimental,2,2
9,EXP_64,Control,rowing farther matters,Experimental,2,2
10,EXP_40,Control,indeed a tax ascent,Experimental,2,2
11,EXP_52,Control,or spent sincere aside,Experimental,2,2
12,EXP_71,Control,submit his cash report,Experimental,2,2
13,EXP_09,PD,assume to catch control,Experimental,2,2
14,EXP_18,Control,butcher in the middle,Experimental,2,2
15,EXP_12,Control,avoid or beat command,Experimental,2,2
16,EXP_03,PD,admit the gear beyond,Experimental,3,2
17,EXP_46,PD,may the same pursued it,Experimental,3,2
18,EXP_58,Control,rampant boasting captain,Experimental,3,2
19,EXP_32,Control,for coke a great defeat,Experimental,3,2
20,EXP_74,PD,technique but sent result,Experimental,3,2
21,EXP_79,PD,unseen machines agree,Experimental,3,2
22,EXP_19,PD,career despite research,Experimental,3,2
23,EXP_24,PD,constant willing walker,Experimental,3,2
24,EXP_57,Control,push her equal culture,Experimental,3,2
25,EXP_67,Control,signal breakfast pilot,Experimental,3,2
26,EXP_22,Control,confused but roared again,Experimental,4,2
27,EXP_41,PD,its harmful note abounds,Experimental,4,2
28,EXP_59,Control,remove and name for stake,Experimental,4,2
29,EXP_51,Control,narrow seated member,Experimental,4,2
30,EXP_08,Control,appear to wait then turn,Experimental,4,2
31,EXP_16,PD,bolder ground from justice,Experimental,4,2
32,EXP_73,PD,target keeping season,Experimental,4,2
33,EXP_65,Control,seat for locking runners,Experimental,4,2
34,EXP_35,PD,functions aim his acid,Experimental,4,2
35,EXP_76,PD,to sort but fear inside,Experimental,4,2
36,EXP_61,PD,rocking modern poster,Experimental,5,2
37,EXP_28,Control,distant leaking basement,Experimental,5,2
38,EXP_42,Control,kick a tad above them,Experimental,5,2
39,EXP_31,Control,embark or take her sheet,Experimental,5,2
40,EXP_02,Control,address her meeting time,Experimental,5,2
41,EXP_72,PD,support with dock and cheer,Experimental,5,2
42,EXP_06,Control,amend estate approach,Experimental,5,2
43,EXP_01,PD,account for who could knock,Experimental,5,2
44,EXP_53,Control,pain can follow agents,Experimental,5,2
45,EXP_34,PD,frame her seed to answer,Experimental,5,2
46,EXP_63,Control,round and bad for carpet,Experimental,6,2
47,EXP_15,Control,beside a sunken bat,Experimental,6,2
48,EXP_44,PD,mark a single ladder,Experimental,6,2
49,EXP_07,PD,and spoke behind her sin,Experimental,6,2
50,EXP_69,PD,sparkle enter broken,Experimental,6,2
51,EXP_75,Control,thinking for the hearing,Experimental,6,2
52,EXP_33,PD,forget the joke below,Experimental,6,2
53,EXP_43,Control,listen final station,Experimental,6,2
54,EXP_70,PD,stable wrist and load it,Experimental,6,2
55,EXP_36,PD,had eaten junk and train,Experimental,6,2
56,EXP_11,PD,attend the trend success,Experimental,7,2
57,EXP_10,Control,attack became concerned,Experimental,7,2
58,EXP_77,Control,transcend almost betrayed,Experimental,7,2
59,EXP_66,PD,secure but lease apart,Experimental,7,2
60,EXP_56,Control,pooling pill or cattle,Experimental,7,2
61,EXP_60,PD,resting older earring,Experimental,7,2
62,EXP_29,PD,divide across retreat,Experimental,7,2
63,EXP_54,PD,perceive sustained supplies,Experimental,7,2
64,EXP_55,Control,pick a chain for action,Experimental,7,2
65,EXP_21,Control,commit such used advice,Experimental,7,2
66,EXP_14,PD,balance clamp and bottle,Experimental,8,2
67,EXP_62,Control,rode the lamp for teasing,Experimental,8,2
68,EXP_78,Control,unless escape can learn,Experimental,8,2
69,EXP_17,Control,bush is chosen after,Experimental,8,2
70,EXP_20,PD,cheap control in paper,Experimental,8,2
71,EXP_68,PD,sinking rather tundra,Experimental,8,2
72,EXP_30,Control,done with finest handle,Experimental,8,2
73,EXP_37,Control,her owners arm the phone,Experimental,8,2
74,EXP_27,PD,define respect instead,Experimental,8,2
75,EXP_49,PD,mode campaign for budget,Experimental,8,2
76,EXP_39,Control,increase a grade sedate,Experimental,9,2
77,EXP_04,PD,advance but sat appeal,Experimental,9,2
78,EXP_26,PD,darker painted baskets,Experimental,9,2
79,EXP_80,PD,vital seats with wonder,Experimental,9,2
80,EXP_25,PD,cool the jar in private,Experimental,9,2
81,EXP_50,PD,model sad and local,Experimental,9,2
82,EXP_38,Control,hold a page of fortune,Experimental,9,2
83,EXP_05,Control,afraid beneath demand,Experimental,9,2
84,EXP_45,Control,mate denotes a judgement,Experimental,9,2
85,EXP_47,PD,measure fame with legal,Experimental,9,2
